ï»¿Time,Time Code,Country Name,Country Code,GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Pump price for diesel fuel (US$ per liter) [EP.PMP.DESL.CD],Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2006,YR2006,Mauritius,MUS,12.02514615,13.10288928,79.50369519,0.533164146,76.31904525,19.96314066,1006.501642,..,..,0,0.104091665,0
2006,YR2006,Mexico,MEX,8.5676974,10.16699696,-44.74733837,6.608668193,98.35746034,5.076594859,1534.155611,0.52,0.74,1.278099183,15.52561386,7.262050671
2006,YR2006,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Moldova,MDA,3.325502288,3.623547502,96.67650907,0.939665161,275.9726482,2.297081653,962.3924296,..,..,0,0.326426695,0.047383712
2006,YR2006,Monaco,MCO,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Mongolia,MNG,5.203791359,5.670176577,-35.35036202,0,176.3613507,5.750909589,1143.23404,0.87,0.88,0,5.532089879,0.636836071
2006,YR2006,Montenegro,MNE,5.502357102,6.343732824,41.46029561,12.78799543,157.6358948,17.54147602,1913.556359,1.27,1.51,0,..,0
2006,YR2006,Morocco,MAR,11.49749739,12.52795046,89.84414248,0.706903202,79.82151614,9.019986305,468.1351155,0.87,1.22,0.021314083,1.851717673,0.006651938
2006,YR2006,Mozambique,MOZ,1.791349702,1.951897842,-22.65432678,14.47748681,512.3218944,82.20174218,402.1682447,1.06,1.15,8.742367625,14.67427897,0.147760402
2006,YR2006,Myanmar,MMR,..,..,-50.78293571,1.904838797,..,68.29984527,298.1154275,0.75,0.66,..,..,..
2006,YR2006,Namibia,NAM,11.50538214,12.53654189,74.78862285,10.33077527,79.76681361,14.88060187,613.4966637,0.87,0.87,0,0.465437618,0
2006,YR2006,Nepal,NPL,4.486707166,4.888824344,8.936932635,2.575941597,204.5481551,88.35570576,353.9934956,0.73,0.94,0,..,0
2006,YR2006,Netherlands,NLD,8.689194708,9.63363303,20.47683792,1.539489887,103.802999,3.525526011,4700.183242,1.32,1.7,2.01540579,8.452905151,0.07637648
2006,YR2006,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,0.443305073,..
2006,YR2006,New Zealand,NZL,6.839054329,7.978960613,21.73005925,24.50648915,125.3296073,7.579732888,4045.756106,0.7,0.98,0.836067319,2.837406131,0.318750035
2006,YR2006,Nicaragua,NIC,6.880247621,7.496883754,48.22350033,10.36722488,133.3887563,41.40927479,520.0515869,0.58,0.67,0,0.554566211,0
2006,YR2006,Niger,NER,..,..,..,..,..,..,..,1.11,1.14,0,2.161610821,0
2006,YR2006,Nigeria,NGA,5.391915012,5.875160647,-120.8933542,0.507260615,170.2081118,79.78215853,740.8818352,0.66,0.51,4.367459536,98.23885636,34.17329115
2006,YR2006,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
2006,YR2006,Norway,NOR,9.401387645,11.09352161,-692.698618,38.04219153,90.14270084,5.016048381,5820.807793,1.66,1.8,5.376696516,67.82716271,14.55525444
2006,YR2006,Oman,OMN,6.547930688,7.134783209,-303.6355383,0,140.1584282,0,6020.955002,0.39,0.31,13.52998483,91.39512817,40.05513544
2006,YR2006,Pakistan,PAK,7.581898381,8.261419346,23.07914418,4.21246416,121.0445758,33.8260976,507.1983219,0.64,1.01,5.695295715,4.941180529,1.00333216
2006,YR2006,Palau,PLW,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Panama,PAN,12.09131247,13.1749857,74.23090738,9.953790591,75.90141064,15.81530203,915.4954715,0.6,0.7,0,0.773392641,0
2006,YR2006,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,0.57727359,..,16.91878882
2006,YR2006,Paraguay,PRY,8.361139661,9.11049944,-70.83477222,..,109.7634665,52.86995306,693.5678726,0.77,0.97,0,1.68E-06,0
2006,YR2006,Peru,PER,15.48593298,16.87384608,12.0633154,13.21267779,59.26331171,17.84052546,473.9727695,0.86,1.22,0.435504108,9.624413573,2.239808357
2006,YR2006,Philippines,PHL,10.32498013,11.25034739,44.53711958,25.55381889,88.8861442,18.26380503,440.3253967,0.67,0.76,0.582463861,2.3201746,0.252708297
2006,YR2006,Poland,POL,5.953031367,7.091296582,20.03631425,0.216990393,141.0179349,5.253932691,2545.42842,1.3,1.3,0.295884854,4.37228112,0.094522812
2006,YR2006,Portugal,PRT,9.993220189,11.34190853,82.63823262,5.169209578,88.1685827,12.15390829,2390.324139,1.1,1.56,0,5.207981682,0
2006,YR2006,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Qatar,QAT,5.680801685,6.189938533,-407.3817477,0,161.5524928,0,19819.72446,0.19,0.19,18.76008749,90.85363214,34.21340149
2006,YR2006,Romania,ROM,6.064241672,8.234269687,30.01453648,7.672726791,121.4436784,8.175545182,1884.332417,1.24,1.26,2.063532127,9.983086485,1.616067941
2006,YR2006,Russian Federation,RUS,3.181511053,4.193254792,-82.95059332,8.412812341,238.4782346,1.115622553,4688.395749,0.66,0.77,11.99457283,62.87506834,19.33485368
2006,YR2006,Rwanda,RWA,..,..,..,..,..,..,..,1.08,1.11,0,0.003871168,0
2006,YR2006,Samoa,WSM,15.75721511,17.16944163,..,..,58.24301229,..,314.791906,..,..,0,0.772258106,0
2006,YR2006,San Marino,SMR,..,..,..,..,..,..,..,..,..,0,..,0
2006,YR2006,Sao Tome and Principe,STP,8.129095928,8.857658991,..,..,112.896647,..,280.9993358,..,..,0,..,0
